0	9	5
0	325	241
0	9	6
1	1	0
0	8	4
0	325	240
0	9	6
0	10	8
0	4	3
0	2	1
0	7	7
0	7	6
0	4	4
0	3	2
0	53	52
1	1	0
0	15	9
0	9	7
0	19	9
0	11	5
0	9	9
0	1	1
0	28	28
0	10	10
0	28	16
0	3	2
0	27	24
0	4	3
0	5	4
0	27	22
0	28	17
0	6	5
1	18	9
0	13	11
0	7	3
0	12	11
0	7	7
0	15	13
0	26	25
0	15	14
1	2	1
0	4	4
0	5	5
0	21	21
0	7	6
0	1	1
0	26	19
0	7	6
0	7	5
0	9	9
0	9	8
0	7	5
0	7	6
0	7	7
1	5	0
0	5	5
0	5	3
0	3	3
0	12	6
0	5	5
0	26	20
1	1	0
0	11	4
0	16	15
0	14	12
0	3	3
1	9	2
0	18	12
0	10	3
1	4	0
1	12	5
0	12	6
0	3	3
0	16	9
0	16	8
0	10	4
0	15	15
0	15	14
0	30	26
0	2	2
1	5	2
0	2	2
0	28	21
0	55	38
0	41	38
0	21	19
0	8	6
0	41	37
0	9	6
0	11	8
0	3	2
1	2	0
0	10	9
0	3	3
0	1	1
0	7	6
0	7	7
0	28	27
0	28	28
0	11	11
1	1	0
0	75	71
0	75	73
1	7	2
0	7	4
1	1	0
1	7	2
0	11	8
1	7	1
0	9	9
0	55	37
0	3	3
0	12	8
0	24	19
0	21	20
0	12	9
0	4	4
0	1	1
0	8	8
0	5	5
0	11	11
1	14	1
0	4	3
0	23	22
0	2	1
0	36	15
0	12	5
0	8	7
1	2	0
1	1	0
0	2	2
0	4	3
0	1	1
1	2	1
0	8	7
0	28	26
0	7	7
0	14	14
0	18	12
1	3	1
1	1	0
1	9	2
0	12	12
1	1	0
0	3	3
0	122	113
0	21	16
1	6	1
0	6	4
0	4	4
0	9	7
0	5	2
0	5	4
0	21	15
0	25	15
0	3	2
0	4	2
0	2	2
0	13	10
0	10	10
1	4	1
0	2	2
0	16	16
0	6	5
1	18	6
0	6	6
1	1	0
0	33	30
1	2	0
0	38	31
0	41	39
0	33	32
0	18	12
1	4	1
1	4	0
1	1	0
1	1	0
0	1	1
0	18	13
0	15	13
0	2	1
0	5	5
0	20	17
0	5	4
1	5	0
0	5	3
0	7	5
0	37	26
0	30	21
0	30	20
0	9	6
0	7	6
0	8	6
0	18	14
0	9	7
0	23	23
0	9	5
0	9	7
0	4	2
0	9	6
0	3	3
0	4	4
0	4	3
0	1	1
0	3	1
0	7	7
0	3	3
0	13	9
0	14	6
0	16	14
0	16	13
0	9	9
0	10	10
1	1	0
0	29	29
0	2	2
0	3	3
0	10	8
1	3	0
0	8	6
